ID,Enter,Exit,Duration_sec
1,2025-09-18 13:51:33,2025-09-18 13:52:12,38.7
2,2025-09-18 13:51:33,2025-09-18 13:52:12,38.7
3,2025-09-18 13:51:33,2025-09-18 13:52:12,38.7
4,2025-09-18 13:51:33,2025-09-18 13:52:12,38.7
5,2025-09-18 13:51:33,2025-09-18 13:52:12,38.7
6,2025-09-18 13:51:33,2025-09-18 13:52:12,38.7
7,2025-09-18 13:51:33,2025-09-18 13:52:12,38.7
8,2025-09-18 13:51:33,2025-09-18 13:52:12,38.7
10,2025-09-18 13:51:33,2025-09-18 13:52:12,38.7
15,2025-09-18 13:51:43,2025-09-18 13:52:12,29.0
16,2025-09-18 13:51:48,2025-09-18 13:52:12,24.2
18,2025-09-18 13:51:48,2025-09-18 13:52:12,24.0
19,2025-09-18 13:51:48,2025-09-18 13:52:12,24.0
21,2025-09-18 13:51:48,2025-09-18 13:52:12,23.7
22,2025-09-18 13:51:48,2025-09-18 13:52:12,23.7
39,2025-09-18 13:51:52,2025-09-18 13:52:12,20.0
40,2025-09-18 13:51:52,2025-09-18 13:52:12,20.0
41,2025-09-18 13:51:52,2025-09-18 13:52:12,20.0
44,2025-09-18 13:51:54,2025-09-18 13:52:12,18.4
52,2025-09-18 13:51:56,2025-09-18 13:52:12,15.7
53,2025-09-18 13:51:56,2025-09-18 13:52:12,15.7
54,2025-09-18 13:51:56,2025-09-18 13:52:12,15.7
55,2025-09-18 13:51:56,2025-09-18 13:52:12,15.7
56,2025-09-18 13:51:56,2025-09-18 13:52:12,15.7
57,2025-09-18 13:51:59,2025-09-18 13:52:12,13.3
58,2025-09-18 13:52:02,2025-09-18 13:52:12,10.3
60,2025-09-18 13:52:03,2025-09-18 13:52:12,9.3
62,2025-09-18 13:52:10,2025-09-18 13:52:12,2.5
63,2025-09-18 13:52:10,2025-09-18 13:52:12,1.6
