ID,Enter,Exit,Duration_sec
1,2025-09-14 19:57:21,2025-09-14 19:57:49,28.5
2,2025-09-14 19:57:21,2025-09-14 19:57:49,28.5
3,2025-09-14 19:57:21,2025-09-14 19:57:49,28.4
4,2025-09-14 19:57:21,2025-09-14 19:57:49,28.4
5,2025-09-14 19:57:21,2025-09-14 19:57:49,28.4
6,2025-09-14 19:57:21,2025-09-14 19:57:49,28.4
7,2025-09-14 19:57:21,2025-09-14 19:57:49,28.4
8,2025-09-14 19:57:21,2025-09-14 19:57:36,15.2
11,2025-09-14 19:57:24,2025-09-14 19:57:25,0.4
14,2025-09-14 19:57:37,2025-09-14 19:57:38,0.4
15,2025-09-14 19:57:37,2025-09-14 19:57:38,0.4
17,2025-09-14 19:57:38,2025-09-14 19:57:40,1.9
20,2025-09-14 19:57:39,2025-09-14 19:57:40,0.5
22,2025-09-14 19:57:39,2025-09-14 19:57:40,0.9
27,2025-09-14 19:57:43,2025-09-14 19:57:44,1.1
28,2025-09-14 19:57:43,2025-09-14 19:57:44,1.1
29,2025-09-14 19:57:43,2025-09-14 19:57:44,0.5
31,2025-09-14 19:57:45,2025-09-14 19:57:46,0.8
