ID,Enter,Exit,Duration_sec
1,2025-09-15 22:01:46,2025-09-15 22:03:57,130.9
2,2025-09-15 22:01:46,2025-09-15 22:03:57,130.9
3,2025-09-15 22:01:46,2025-09-15 22:03:57,130.9
4,2025-09-15 22:01:46,2025-09-15 22:03:57,130.9
5,2025-09-15 22:01:46,2025-09-15 22:03:57,130.9
6,2025-09-15 22:01:46,2025-09-15 22:03:57,130.9
7,2025-09-15 22:01:46,2025-09-15 22:03:57,130.9
8,2025-09-15 22:01:46,2025-09-15 22:03:57,130.9
10,2025-09-15 22:01:46,2025-09-15 22:03:57,130.9
14,2025-09-15 22:01:50,2025-09-15 22:03:57,127.2
15,2025-09-15 22:01:52,2025-09-15 22:03:57,125.2
16,2025-09-15 22:01:52,2025-09-15 22:03:57,125.1
19,2025-09-15 22:01:54,2025-09-15 22:03:57,122.4
20,2025-09-15 22:01:58,2025-09-15 22:03:57,118.5
22,2025-09-15 22:01:59,2025-09-15 22:03:57,118.0
24,2025-09-15 22:02:02,2025-09-15 22:03:57,114.6
25,2025-09-15 22:02:03,2025-09-15 22:03:57,114.2
27,2025-09-15 22:02:04,2025-09-15 22:03:57,113.2
29,2025-09-15 22:02:06,2025-09-15 22:03:57,110.6
30,2025-09-15 22:02:07,2025-09-15 22:03:57,110.0
33,2025-09-15 22:02:13,2025-09-15 22:03:57,103.9
34,2025-09-15 22:02:13,2025-09-15 22:03:57,103.7
35,2025-09-15 22:02:15,2025-09-15 22:03:57,101.8
36,2025-09-15 22:02:18,2025-09-15 22:03:57,98.9
37,2025-09-15 22:02:19,2025-09-15 22:03:57,97.8
38,2025-09-15 22:02:19,2025-09-15 22:03:57,97.3
42,2025-09-15 22:02:23,2025-09-15 22:03:57,94.0
43,2025-09-15 22:02:23,2025-09-15 22:03:57,93.5
49,2025-09-15 22:02:26,2025-09-15 22:03:57,90.7
50,2025-09-15 22:02:26,2025-09-15 22:03:57,90.3
51,2025-09-15 22:02:28,2025-09-15 22:03:57,88.6
55,2025-09-15 22:02:33,2025-09-15 22:03:57,83.5
56,2025-09-15 22:02:34,2025-09-15 22:03:57,82.9
61,2025-09-15 22:02:38,2025-09-15 22:03:57,79.2
66,2025-09-15 22:02:40,2025-09-15 22:03:57,76.8
67,2025-09-15 22:02:41,2025-09-15 22:03:57,76.0
69,2025-09-15 22:02:41,2025-09-15 22:03:57,75.5
72,2025-09-15 22:02:44,2025-09-15 22:03:57,72.6
74,2025-09-15 22:02:47,2025-09-15 22:03:57,69.9
76,2025-09-15 22:02:48,2025-09-15 22:03:57,68.8
77,2025-09-15 22:02:50,2025-09-15 22:03:57,66.9
86,2025-09-15 22:02:59,2025-09-15 22:03:57,57.8
87,2025-09-15 22:02:59,2025-09-15 22:03:57,57.7
88,2025-09-15 22:02:59,2025-09-15 22:03:57,57.5
89,2025-09-15 22:03:00,2025-09-15 22:03:57,57.2
92,2025-09-15 22:03:00,2025-09-15 22:03:57,57.0
93,2025-09-15 22:03:00,2025-09-15 22:03:57,57.0
96,2025-09-15 22:03:00,2025-09-15 22:03:57,56.4
97,2025-09-15 22:03:01,2025-09-15 22:03:57,56.1
100,2025-09-15 22:03:03,2025-09-15 22:03:57,54.1
102,2025-09-15 22:03:03,2025-09-15 22:03:57,53.6
103,2025-09-15 22:03:04,2025-09-15 22:03:57,52.8
107,2025-09-15 22:03:07,2025-09-15 22:03:57,49.5
110,2025-09-15 22:03:08,2025-09-15 22:03:57,48.9
114,2025-09-15 22:03:09,2025-09-15 22:03:57,47.6
121,2025-09-15 22:03:20,2025-09-15 22:03:57,36.5
124,2025-09-15 22:03:22,2025-09-15 22:03:57,34.8
128,2025-09-15 22:03:26,2025-09-15 22:03:57,30.9
132,2025-09-15 22:03:27,2025-09-15 22:03:57,29.8
134,2025-09-15 22:03:27,2025-09-15 22:03:57,29.6
137,2025-09-15 22:03:36,2025-09-15 22:03:57,21.0
139,2025-09-15 22:03:39,2025-09-15 22:03:57,18.1
140,2025-09-15 22:03:41,2025-09-15 22:03:57,16.1
141,2025-09-15 22:03:44,2025-09-15 22:03:57,12.4
142,2025-09-15 22:03:50,2025-09-15 22:03:57,6.6
148,2025-09-15 22:03:54,2025-09-15 22:03:57,2.5
